"","id","cell","file","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Gpx1",1.02769120573719e-08,-0.842963268818968,0.909,0.955,0.000125830511230462
"2","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Epn1",2.02253775396293e-08,-1.0630097975258,0.586,0.864,0.000247639522595221
"3","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Mcl1",2.64043226011994e-08,-0.927466957051759,0.758,0.943,0.000323294525929086
"4","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Fau",3.3955280060148e-08,-0.760764068500138,0.869,0.977,0.000415748449056452
"5","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Pfn1",3.64764815790446e-08,-0.729701294433725,0.929,0.977,0.000446618040453822
"6","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Eef1a1",5.18802301332551e-08,-0.542008620225621,0.99,1,0.000635221537751575
"7","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Itm2b",2.7663185677674e-07,-0.750118258015597,0.828,0.977,0.0033870804543744
"8","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Atp1a1",2.77899893594825e-07,-1.24558927137438,0.434,0.761,0.00340260629717504
"9","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Npc2",2.94613925543865e-07,-0.744545557942009,0.899,0.989,0.00360725290435909
"10","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Coro1a",3.79229209661753e-07,-0.640671933307444,0.949,0.977,0.00464328244309851
"11","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Cfl1",3.90692199083387e-07,-0.783033050314871,0.939,0.977,0.004783635285577
"12","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Alox5ap",5.48253785480237e-07,-0.879145605125614,0.838,0.909,0.00671281934942002
"13","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Irf8",8.34198885353078e-07,-0.871424133770662,0.879,0.966,0.0102139311522631
"14","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Itm2c",1.09655673012739e-06,-0.984893107609792,0.616,0.864,0.0134262406036798
"15","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Gm2a",1.15721778934305e-06,-0.654552772906229,0.96,0.989,0.0141689746127163
"16","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Mat2a",1.33820738001855e-06,-1.11929892837234,0.434,0.739,0.0163850111609471
"17","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Ly6e",1.70406724782728e-06,-0.740060084485829,0.909,0.955,0.0208645993823973
"18","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Psap",1.7860558769342e-06,-0.620525845180742,0.96,0.977,0.0218684681571823
"19","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Smarca4",1.7932470572641e-06,-1.57046293102604,0.232,0.545,0.0219565169691416
"20","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","H2afy",1.82547052113086e-06,-0.653892841425117,0.909,0.977,0.0223510610607262
"21","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","S100a9",1.89919169809362e-06,-0.397397340143113,0.919,1,0.0232537031514583
"22","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Actg1",2.21312120489975e-06,-0.985246233309973,0.646,0.841,0.0270974560327926
"23","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Kctd12",2.31529247674464e-06,-0.628531515658555,1,0.989,0.0283484410852613
"24","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Rnasek",2.64499268840957e-06,-1.95128471496697,0.141,0.443,0.0323852904768867
"25","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Fcer1g",2.84571973865181e-06,-0.821536537598537,0.788,0.955,0.0348429924800528
"26","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Cytip",2.99960105913753e-06,-1.08388517037562,0.606,0.841,0.03672711536808
"27","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn12kovs_bm_wt.csv","Ucp2",3.67814614679367e-06,-0.560278237340559,0.99,1,0.0450352214213417
"28","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn1kovs_bm_wt.csv","Cfl1",1.24375189375438e-08,-0.919252939977097,0.918,0.977,0.000152284981871287
"29","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn1kovs_bm_wt.csv","Coro1a",1.37360826585589e-08,-0.744345124531804,0.959,0.977,0.000168184596071396
"30","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn1kovs_bm_wt.csv","S100a11",7.63452954790505e-08,-1.31674164817203,0.408,0.75,0.000934771797845495
"31","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn1kovs_bm_wt.csv","Pfn1",1.197969839064e-07,-0.63893866731468,0.949,0.977,0.00146679427094996
"32","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn1kovs_bm_wt.csv","Selplg",1.20515024319163e-07,-1.13279421132653,0.663,0.875,0.00147558595776384
"33","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn1kovs_bm_wt.csv","S100a8",1.24296208494238e-07,-0.802788152450634,0.969,1,0.00152188277680345
"34","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn1kovs_bm_wt.csv","Actg1",2.31825122573383e-07,-1.09918366340698,0.592,0.841,0.0028384668007885
"35","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn1kovs_bm_wt.csv","Gng10",3.55082000278579e-07,-0.944381442979292,0.694,0.841,0.00434762401141092
"36","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn1kovs_bm_wt.csv","Zfp36l2",5.0755060453592e-07,-0.830877644911028,0.898,0.955,0.00621444960193781
"37","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn1kovs_bm_wt.csv","Zfp36",6.19082003787194e-07,-1.08667946986614,0.898,0.92,0.0075800400543704
"38","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn1kovs_bm_wt.csv","Epn1",6.84010328582669e-07,-0.912301471985371,0.612,0.864,0.0083750224631662
"39","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn1kovs_bm_wt.csv","Alox5ap",1.16723021064769e-06,-0.856885645051338,0.796,0.909,0.0142915666991703
"40","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn1kovs_bm_wt.csv","Gm2a",1.34261760717925e-06,-0.642704630294502,0.939,0.989,0.0164390099823028
"41","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn1kovs_bm_wt.csv","Rack1",1.52599530028958e-06,-1.08998676522619,0.684,0.83,0.0186842864567456
"42","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn1kovs_bm_wt.csv","Gpx1",1.90582536806542e-06,-0.671853751218817,0.888,0.955,0.023334925806593
"43","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn1kovs_bm_wt.csv","Pafah1b3",2.16019916792985e-06,-2.00327513203286,0.133,0.432,0.0264494786121331
"44","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn1kovs_bm_wt.csv","Cdk9",2.24739044279409e-06,-1.07620665448671,0.531,0.818,0.0275170485815709
"45","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn1kovs_bm_wt.csv","Eif4b",2.83535418666096e-06,-0.931503250091344,0.571,0.818,0.0347160766614767
"46","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn1kovs_bm_wt.csv","Pgls",2.89182026914273e-06,-1.26490271665241,0.459,0.727,0.0354074473753836
"47","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn1kovs_bm_wt.csv","Irf8",2.96553914426297e-06,-0.781989708671992,0.878,0.966,0.0363100612823558
"48","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn1kovs_bm_wt.csv","Psap",3.7375209937757e-06,-0.60587906921634,0.959,0.977,0.0457622070477897
"49","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn2kovs_bm_wt.csv","Fau",1.0102803465805e-08,-0.762542840448848,0.906,0.977,0.000123698725635316
"50","/flask/scratch/papayannopoulosv/khurang/hmgn_scrna/march/plots/","DC","hmgn2kovs_bm_wt.csv","Gpx1",2.2718667804564e-08,-0.777071570913277,0.934,0.955,0.000278167368599082
